"","studyid","year","envvalue","z","X","species","phenovalue","slope","intid","int_type","spp"
"1","EMW001",1950,6.16114,0.989168250381124,2007,"Mnemiopsis1 leidyi",205.667,-1.43251570048309,1,"predation","spp2"
"2","EMW001",1951,-1.99052,-0.40370470101072,1,"Acartia tonsa",154.875,0.269528146529995,1,"predation","spp1"
"3","EMW001",1951,-1.99052,-0.40370470101072,2008,"Mnemiopsis1 leidyi",206.625,-1.43251570048309,1,"predation","spp2"
"4","EMW001",1971,6.16114,0.989168250381124,2009,"Mnemiopsis1 leidyi",210.458,-1.43251570048309,1,"predation","spp2"
"5","EMW001",1972,0.094787,-0.0473885990574894,2010,"Mnemiopsis1 leidyi",188.458,-1.43251570048309,1,"predation","spp2"
"6","EMW001",1972,0.094787,-0.0473885990574894,2,"Acartia tonsa",176,0.269528146529995,1,"predation","spp1"
"7","EMW001",1973,1.23223,0.14696611991386,3,"Acartia tonsa",173.083,0.269528146529995,1,"predation","spp1"
"8","EMW001",1973,1.23223,0.14696611991386,2011,"Mnemiopsis1 leidyi",197.042,-1.43251570048309,1,"predation","spp2"
"9","EMW001",1974,4.07583,0.632851635818332,2012,"Mnemiopsis1 leidyi",195.125,-1.43251570048309,1,"predation","spp2"
"10","EMW001",1975,-4.07583,-0.760021315573512,2013,"Mnemiopsis1 leidyi",200.875,-1.43251570048309,1,"predation","spp2"
"11","EMW001",1976,4.07583,0.632851635818332,2014,"Mnemiopsis1 leidyi",207.625,-1.43251570048309,1,"predation","spp2"
"12","EMW001",1976,4.07583,0.632851635818332,4,"Acartia tonsa",178.875,0.269528146529995,1,"predation","spp1"
"13","EMW001",1978,0.094787,-0.0473885990574894,2015,"Mnemiopsis1 leidyi",200.875,-1.43251570048309,1,"predation","spp2"
"14","EMW001",1981,-4.07583,-0.760021315573512,5,"Acartia tonsa",187.458,0.269528146529995,1,"predation","spp1"
"15","EMW001",1982,15.0711,2.51161181181319,6,"Acartia tonsa",172.125,0.269528146529995,1,"predation","spp1"
"16","EMW001",1983,2.36967,0.341320326275649,7,"Acartia tonsa",177.875,0.269528146529995,1,"predation","spp1"
"17","EMW001",1983,2.36967,0.341320326275649,2016,"Mnemiopsis1 leidyi",226.75,-1.43251570048309,1,"predation","spp2"
"18","EMW001",1985,-4.83412,-0.889590216915192,2017,"Mnemiopsis1 leidyi",161.583,-1.43251570048309,1,"predation","spp2"
"19","EMW001",1986,-2.74882,-0.533275311050937,2018,"Mnemiopsis1 leidyi",137.625,-1.43251570048309,1,"predation","spp2"
"20","EMW001",1999,-2.93839,-0.565667109211723,2019,"Mnemiopsis1 leidyi",137.625,-1.43251570048309,1,"predation","spp2"
"21","EMW001",2001,5.97156,0.956774743521802,8,"Acartia tonsa",176.917,0.269528146529995,1,"predation","spp1"
"22","EMW001",2002,9.00474,1.4750537662856,2020,"Mnemiopsis1 leidyi",106.958,-1.43251570048309,1,"predation","spp2"
"23","EMW001",2002,9.00474,1.4750537662856,9,"Acartia tonsa",169.25,0.269528146529995,1,"predation","spp1"
"24","EMW001",2003,9.00474,1.4750537662856,10,"Acartia tonsa",180.75,0.269528146529995,1,"predation","spp1"
"25","HMK016",1992,0.430769,0.421579196160684,2443,"Cerorhinca monocerata",142.307,0.623592857142876,165,"predation","spp2"
"26","HMK016",1993,0.738462,0.722708032275328,380,"Engraulis japonicus",165.259,-1.50021650055365,165,"predation","spp1"
"27","HMK016",1993,0.738462,0.722708032275328,2444,"Cerorhinca monocerata",143.258,0.623592857142876,165,"predation","spp2"
"28","HMK016",1994,-0.676923,-0.662481873585793,2445,"Cerorhinca monocerata",146.082,0.623592857142876,165,"predation","spp2"
"29","HMK016",1995,0.307692,0.301127857448129,381,"Engraulis japonicus",171.541,-1.50021650055365,165,"predation","spp1"
"30","HMK016",1995,0.307692,0.301127857448129,2446,"Cerorhinca monocerata",139.568,0.623592857142876,165,"predation","spp2"
"31","HMK016",1996,-0.276923,-0.271015267436619,382,"Engraulis japonicus",180.839,-1.50021650055365,165,"predation","spp1"
"32","HMK016",1996,-0.276923,-0.271015267436619,2447,"Cerorhinca monocerata",147.521,0.623592857142876,165,"predation","spp2"
"33","HMK016",1997,-0.8,-0.782933212298348,2448,"Cerorhinca monocerata",153.142,0.623592857142876,165,"predation","spp2"
"34","HMK016",1997,-0.8,-0.782933212298348,383,"Engraulis japonicus",214.747,-1.50021650055365,165,"predation","spp1"
"35","HMK016",1998,0.707692,0.692594463597303,384,"Engraulis japonicus",136.361,-1.50021650055365,165,"predation","spp1"
"36","HMK016",1998,0.707692,0.692594463597303,2449,"Cerorhinca monocerata",145.695,0.623592857142876,165,"predation","spp2"
"37","HMK016",1999,-1.72308,-1.6863206993088,385,"Engraulis japonicus",157.962,-1.50021650055365,165,"predation","spp1"
"38","HMK016",1999,-1.72308,-1.6863206993088,2450,"Cerorhinca monocerata",155.515,0.623592857142876,165,"predation","spp2"
"39","HMK016",2000,-0.8,-0.782933212298348,386,"Engraulis japonicus",162.641,-1.50021650055365,165,"predation","spp1"
"40","HMK016",2000,-0.8,-0.782933212298348,2451,"Cerorhinca monocerata",149.935,0.623592857142876,165,"predation","spp2"
"41","HMK016",2001,-1.26154,-1.23462695580357,387,"Engraulis japonicus",145.798,-1.50021650055365,165,"predation","spp1"
"42","HMK016",2001,-1.26154,-1.23462695580357,2452,"Cerorhinca monocerata",156.489,0.623592857142876,165,"predation","spp2"
"43","HMK016",2002,1.72308,1.6863206993088,388,"Engraulis japonicus",110.476,-1.50021650055365,165,"predation","spp1"
"44","HMK016",2002,1.72308,1.6863206993088,2453,"Cerorhinca monocerata",136.909,0.623592857142876,165,"predation","spp2"
"45","HMK016",2003,0,1.68483132925856e-17,2454,"Cerorhinca monocerata",146.73,0.623592857142876,165,"predation","spp2"
"46","HMK016",2004,0.523077,0.511917944861728,2455,"Cerorhinca monocerata",157.018,0.623592857142876,165,"predation","spp2"
"47","HMK016",2005,-0.430769,-0.421579196160684,2456,"Cerorhinca monocerata",149.105,0.623592857142876,165,"predation","spp2"
"48","HMK016",2005,-0.430769,-0.421579196160684,389,"Engraulis japonicus",169.134,-1.50021650055365,165,"predation","spp1"
"49","HMK018",1991,-5.6,-1.08971278499702,2475,"Pygoscelis papua",320,0.186274509803873,169,"competition","spp2"
"50","HMK018",1991,-5.6,-1.08971278499702,391,"Pygoscelis adeliae",309,0.276960784313682,168,"competition","spp1"
"51","HMK018",1991,-5.6,-1.08971278499702,408,"Pygoscelis adeliae",309,0.276960784313682,167,"competition","spp1"
"52","HMK018",1991,-5.6,-1.08971278499702,2458,"Pygoscelis papua",320,0.186274509803873,168,"competition","spp2"
"53","HMK018",1992,-3.65,0.164285883215318,2459,"Pygoscelis papua",316,0.186274509803873,168,"competition","spp2"
"54","HMK018",1992,-3.65,0.164285883215318,392,"Pygoscelis adeliae",307,0.276960784313682,168,"competition","spp1"
"55","HMK018",1992,-3.65,0.164285883215318,409,"Pygoscelis adeliae",307,0.276960784313682,167,"competition","spp1"
"56","HMK018",1992,-3.65,0.164285883215318,2476,"Pygoscelis papua",316,0.186274509803873,169,"competition","spp2"
"57","HMK018",1993,-3.65,0.164285883215318,393,"Pygoscelis adeliae",301,0.276960784313682,168,"competition","spp1"
"58","HMK018",1993,-3.65,0.164285883215318,410,"Pygoscelis adeliae",301,0.276960784313682,167,"competition","spp1"
"59","HMK018",1993,-3.65,0.164285883215318,2460,"Pygoscelis papua",308,0.186274509803873,168,"competition","spp2"
"60","HMK018",1993,-3.65,0.164285883215318,2477,"Pygoscelis papua",308,0.186274509803873,169,"competition","spp2"
