rowid,studyid,site,year,factormanipulated,secondfactor,tempman,phenoman,phenophaseman,labfield,treatment,treatunits,treatchangeC,treatchangeday,,genus,species,genus2,species2,phenophase,phenounits,phenovalue,phenovarunit,phenovarvalue,n,fitnesscomp,fitnessunit,gender,stdfitness,fitnessvalue,fitnessvarunit,fitnessvarvalue,fitnesstype,notes,,
1,HMK001,"Finse,Norway",1993,temperature,NA,2,NA,NA,field,0,C,0,NA,,Salix,lapponum,NA,NA,development of catkins,mean day-degrees above 0,408.7,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,"mean day-degree above 0 required to complete development, sum of weekly values from catkin phenological stage 0 to 9; MIN also available **",,
2,HMK001,"Finse,Norway",1993,temperature,NA,2,NA,NA,field,1,C,1.4,NA,,Salix,lapponum,NA,NA,development of catkins,mean day-degrees above 0,439.1,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,"mean day-degree above 0 required to complete development, sum of weekly values from catkin phenological stage 0 to 9; MIN also available **",,
3,HMK001,"Haugastol, Norway",1993,temperature,NA,2,NA,NA,field,0,C,0,NA,,Salix,lapponum,NA,NA,development of catkins,mean day-degrees above 0,431.1,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,"mean day-degree above 0 required to complete development, sum of weekly values from catkin phenological stage 0 to 9; MIN also available **",,
4,HMK001,"Haugastol, Norway",1993,temperature,NA,2,NA,NA,field,1,C,0.6,NA,,Salix,lapponum,NA,NA,development of catkins,mean day-degrees above 0,345.2,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,"mean day-degree above 0 required to complete development, sum of weekly values from catkin phenological stage 0 to 9; MIN also available **",,
5,HMK001,"Finse,Norway",1993,temperature,NA,2,NA,NA,field,0,C,0,6.3,,Cacopsylla,palmeni,Salix,lapponum,development to fifth instar,mean day-degrees above 0,415,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,"mean day-degree above 0 required to complete development, sum of weekly values from when eggs observed until fifth instar observed on all catkins; MIN also available **",,
6,HMK001,"Finse,Norway",1993,temperature,NA,2,NA,NA,field,1,C,1.4,-15.1,,Cacopsylla,palmeni,Salix,lapponum,development to fifth instar,mean day-degrees above 0,424,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,"mean day-degree above 0 required to complete development, sum of weekly values from when eggs observed until fifth instar observed on all catkins; MIN also available **",,
7,HMK001,"Haugastol, Norway",1993,temperature,NA,2,NA,NA,field,0,C,0,-7.7,,Cacopsylla,brunneipennis,Salix,lapponum,development to fifth instar,mean day-degrees above 0,423.4,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,"mean day-degree above 0 required to complete development, sum of weekly values from when eggs observed until fifth instar observed on all catkins; MIN also available **",,
8,HMK001,"Haugastol, Norway",1993,temperature,NA,2,NA,NA,field,1,C,0.6,-21.1,,Cacopsylla,brunneipennis,Salix,lapponum,development to fifth instar,mean day-degrees above 0,324.1,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,"mean day-degree above 0 required to complete development, sum of weekly values from when eggs observed until fifth instar observed on all catkins; MIN also available **",,
9,HMK002,"Cape Cod, MA, US",1995,consumer,NA,NA,2,larval emergence,field,0,day,NA,NA,,Quercus,alba,NA,NA,budburst,doy,135,NA,NA,NA,a,NA,NA,NA,NA,NA,NA,0,ambient=control,,
10,HMK002,"Cape Cod, MA, US",1995,consumer,NA,NA,2,larval emergence,field,0,day,NA,NA,,Quercus,velutina,NA,NA,budburst,doy,124,NA,NA,NA,a,NA,NA,NA,NA,NA,NA,0,ambient,,
11,HMK002,"Cape Cod, MA, US",1995,consumer,NA,NA,2,larval emergence,field,0,day,NA,-5,,Lymantria,dispar,Quercus,alba,timing of egg hatch,doy,130,NA,NA,NA,a,NA,NA,NA,NA,NA,NA,0,ambient; relative to alba,,
12,HMK002,"Cape Cod, MA, US",1995,consumer,NA,NA,2,larval emergence,field,0,day,NA,6,,Lymantria,dispar,Quercus,velutina,timing of egg hatch,doy,130,NA,NA,NA,a,NA,NA,NA,NA,NA,NA,0,ambient; relative to velutina,,
13,HMK002,"Cape Cod, MA, US",1995,consumer,NA,NA,2,larval emergence,field,1,day,NA,-5,,Lymantria,dispar,Quercus,alba,timing of egg hatch,doy,130,NA,NA,NA,a,NA,NA,NA,NA,NA,NA,0,relative to alba,,
14,HMK002,"Cape Cod, MA, US",1995,consumer,NA,NA,2,larval emergence,field,2,day,NA,0,,Lymantria,dispar,Quercus,alba,timing of egg hatch,doy,135,NA,NA,NA,a,NA,NA,NA,NA,NA,NA,0,relative to alba,,
15,HMK002,"Cape Cod, MA, US",1995,consumer,NA,NA,2,larval emergence,field,3,day,NA,12,,Lymantria,dispar,Quercus,alba,timing of egg hatch,doy,147,NA,NA,NA,a,NA,NA,NA,NA,NA,NA,0,relative to alba,,
16,HMK002,"Cape Cod, MA, US",1995,consumer,NA,NA,2,larval emergence,field,1,day,NA,6,,Lymantria,dispar,Quercus,velutina,timing of egg hatch,doy,130,NA,NA,NA,a,NA,NA,NA,NA,NA,NA,0,relative to velutina
17,HMK002,"Cape Cod, MA, US",1995,consumer,NA,NA,2,larval emergence,field,2,day,NA,11,,Lymantria,dispar,Quercus,velutina,timing of egg hatch,doy,135,NA,NA,NA,a,NA,NA,NA,NA,NA,NA,0,relative to velutina
18,HMK002,"Cape Cod, MA, US",1995,consumer,NA,NA,2,larval emergence,field,3,day,NA,23,,Lymantria,dispar,Quercus,velutina,timing of egg hatch,doy,147,NA,NA,NA,a,NA,NA,NA,NA,NA,NA,0,relative to velutina
19,HMK002,"Cape Cod, MA, US",1996,consumer,NA,NA,2,larval emergence,field,0,day,NA,NA,,Quercus,alba,NA,NA,budburst,doy,138,NA,NA,NA,a,NA,NA,NA,NA,NA,NA,0,ambient
20,HMK002,"Cape Cod, MA, US",1996,consumer,NA,NA,2,larval emergence,field,0,day,NA,NA,,Quercus,velutina,NA,NA,budburst,doy,126,NA,NA,NA,a,NA,NA,NA,NA,NA,NA,0,ambient
21,HMK002,"Cape Cod, MA, US",1996,consumer,NA,NA,2,larval emergence,field,0,day,NA,-8,,Lymantria,dispar,Quercus,alba,timing of egg hatch,doy,130,NA,NA,NA,a,NA,NA,NA,NA,NA,NA,0,ambient; relative to alba
22,HMK002,"Cape Cod, MA, US",1996,consumer,NA,NA,2,larval emergence,field,1,day,NA,-17,,Lymantria,dispar,Quercus,alba,timing of egg hatch,doy,121,NA,NA,44,survival to third instar,percentage,both,NA,32.3949,SE,7.2578,1,ambient; relative to alba
23,HMK002,"Cape Cod, MA, US",1996,consumer,NA,NA,2,larval emergence,field,1,day,NA,-17,,Lymantria,dispar,Quercus,alba,timing of egg hatch,doy,121,NA,NA,44,fecundity,eggs/female,female,NA,475.598,SE,23.907,3,ambient; relative to alba
24,HMK002,"Cape Cod, MA, US",1996,consumer,NA,NA,2,larval emergence,field,2,day,NA,-8,,Lymantria,dispar,Quercus,alba,timing of egg hatch,doy,130,NA,NA,52,survival to third instar,percentage,both,0.078438273,34.9359,SE,8.0877,1,ambient; relative to alba
25,HMK002,"Cape Cod, MA, US",1996,consumer,NA,NA,2,larval emergence,field,2,day,NA,-8,,Lymantria,dispar,Quercus,alba,timing of egg hatch,doy,130,NA,NA,52,fecundity,eggs/female,female,-0.232242356,365.144,SE,25.585,3,ambient; relative to alba
26,HMK002,"Cape Cod, MA, US",1996,consumer,NA,NA,2,larval emergence,field,3,day,NA,10,,Lymantria,dispar,Quercus,alba,timing of egg hatch,doy,148,NA,NA,59,survival to third instar,percentage,both,0.976789556,64.0379,SE,8.5555,1,ambient; relative to alba
27,HMK002,"Cape Cod, MA, US",1996,consumer,NA,NA,2,larval emergence,field,3,day,NA,10,,Lymantria,dispar,Quercus,alba,timing of egg hatch,doy,148,NA,NA,59,fecundity,eggs/female,female,-0.400567286,285.089,SE,20.716,3,ambient; relative to alba
28,HMK002,"Cape Cod, MA, US",1996,consumer,NA,NA,2,larval emergence,field,0,day,NA,4,,Lymantria,dispar,Quercus,velutina,timing of egg hatch,doy,130,NA,NA,NA,a,NA,NA,NA,NA,NA,NA,0,ambient; relative to velutina
29,HMK002,"Cape Cod, MA, US",1996,consumer,NA,NA,2,larval emergence,field,1,day,NA,-5,,Lymantria,dispar,Quercus,velutina,timing of egg hatch,doy,121,NA,NA,40,survival to third instar,percentage,both,NA,63.8657,SE,5.7836,1,ambient; relative to velutina
30,HMK002,"Cape Cod, MA, US",1996,consumer,NA,NA,2,larval emergence,field,1,day,NA,-5,,Lymantria,dispar,Quercus,velutina,timing of egg hatch,doy,121,NA,NA,40,fecundity,eggs/female,female,NA,423.081,SE,30.344,3,ambient; relative to velutina
31,HMK002,"Cape Cod, MA, US",1996,consumer,NA,NA,2,larval emergence,field,2,day,NA,4,,Lymantria,dispar,Quercus,velutina,timing of egg hatch,doy,130,NA,NA,59,survival to third instar,percentage,both,-0.30264289,44.5372,SE,5.8639,1,ambient; relative to velutina
32,HMK002,"Cape Cod, MA, US",1996,consumer,NA,NA,2,larval emergence,field,2,day,NA,4,,Lymantria,dispar,Quercus,velutina,timing of egg hatch,doy,130,NA,NA,59,fecundity,eggs/female,female,-0.144026794,362.146,SE,25.557,3,ambient; relative to velutina,,
33,HMK002,"Cape Cod, MA, US",1996,consumer,NA,NA,2,larval emergence,field,3,day,NA,22,,Lymantria,dispar,Quercus,velutina,timing of egg hatch,doy,148,NA,NA,35,survival to third instar,percentage,both,-0.030448269,61.9211,SE,5.3472,1,ambient; relative to velutina,,
